Mes;Vazao
1/1/2006;41078,31
1/2/2006;34111,51
1/3/2006;33621,70
1/4/2006;34872,04
1/5/2006;33670,86
1/6/2006;33267,36
1/7/2006;26768,40
1/8/2006;28316,18
1/9/2006;32617,27
1/10/2006;39452,45
1/11/2006;51070,42
1/12/2006;62579,52
1/1/2007;54986,68
1/2/2007;40652,12
1/3/2007;36230,64
1/4/2007;34250,37
1/5/2007;35496,53
1/6/2007;35116,87
1/7/2007;31736,93
1/8/2007;32225,20
1/9/2007;37677,98
1/10/2007;46374,51
1/11/2007;56095,22
1/12/2007;61561,04
1/1/2008;54442,95
1/2/2008;42930,16
1/3/2008;36492,30
1/4/2008;38452,80
1/5/2008;37513,72
1/6/2008;34242,15
1/7/2008;30673,49
1/8/2008;31625,55
1/9/2008;38254,63
1/10/2008;41780,86
